"AKL", "CPT", 14.0
"AKL", "NBO", 11.0
"AKL", "SYD", 3.5
"AMS", "CDG", 1.5
"AMS", "FRA", 1.0
"AMS", "LHR", 2.0
"BCN", "AMS", 2.0
"BCN", "CDG", 2.5
"BCN", "LHR", 3.0
"BNE", "AKL", 2.0
"BNE", "NBO", 8.5
"BNE", "SYD", 1.5
"CAI", "ICN", 8.0
"CAI", "JNB", 5.5
"CAI", "KUL", 6.5
"CDG", "AMS", 1.5
"CDG", "FRA", 2.0
"CDG", "LHR", 1.0
"CPT", "CAI", 5.5
"CPT", "JNB", 1.0
"CPT", "LOS", 3.5
"FRA", "AMS", 1.0
"FRA", "CDG", 2.0
"FRA", "LHR", 2.5
"HKG", "ICN", 1.5
"HKG", "NRT", 7.0
"HKG", "SIN", 3.0
"ICN", "HKG", 1.5
"ICN", "NRT", 3.5
"ICN", "SIN", 4.5
"JFK", "LAX", 3.5
"JFK", "MIA", 2.5
"JFK", "SFO", 6.0
"JNB", "HKG", 8.0
"JNB", "ICN", 10.0
"JNB", "KUL", 7.0
"KUL", "HKG", 4.0
"KUL", "ICN", 3.5
"KUL", "SIN", 1.5
"LAX", "JFK", 3.5
"LAX", "MIA", 4.5
"LAX", "SFO", 1.0
"LHR", "AMS", 2.0
"LHR", "CDG", 1.0
"LHR", "FRA", 2.5
"LOS", "CAI", 4.0
"LOS", "JNB", 6.0
"LOS", "KUL", 5.0
"MIA", "JFK", 2.5
"MIA", "LAX", 4.5
"MIA", "SFO", 6.0
"NAN", "AKL", 5.5
"NAN", "BNE", 4.5
"NAN", "SYD", 6.5
"NBO", "CAI", 3.0
"NBO", "CPT", 2.5
"NBO", "LOS", 4.0
"NRT", "HKG", 7.0
"NRT", "ICN", 3.5
"NRT", "SIN", 5.5
"PPT", "AKL", 9.5
"PPT", "BNE", 8.5
"PPT", "NAN", 6.5
"SEA", "JFK", 5.5
"SEA", "LAX", 4.0
"SEA", "MIA", 5.0
"SFO", "JFK", 6.0
"SFO", "LAX", 1.0
"SFO", "MIA", 6.0
"SIN", "HKG", 3.0
"SIN", "ICN", 4.5
"SIN", "NRT", 5.5
"SYD", "CPT", 11.0
"SYD", "LOS", 14.0
"SYD", "NBO", 8.0
